DevelopmentalStage,Dataset,Correlation
late_devo,Bhaduri_H1S_10w,0.18241366554419491
late_devo,Bhaduri_H1S_10w,0.18241366554419491
late_devo,Bhaduri_H1S_8w,0.12946629839109006
late_devo,Bhaduri_H1X_8w,-0.0839838265775162
late_devo,Bhaduri_H1S_5w,-0.0947901017163205
late_devo,Giandomenico_10w,0.06192309569989174
late_devo,Madhavan_12w,0.15355867872577603
late_devo,Popova_batch2_7w,0.054386351045132786
late_devo,Trujillo_12w,0.1697705750103647
late_devo,Trujillo_24w,0.20240333738205543
late_devo,Trujillo_40w,0.13333660901715577
late_devo,Velasco_12w,0.02601919833450411
late_devo,Velasco_24w,0.04256671990737203
late_devo,Xiang_10w,0.18083514791593358
late_devo,Xiang_11w,0.17650812488864262
late_devo,Xiangb1_4w,0.009404744086679346
late_devo,Xiangb2_4w,-0.025084902120635477
