DevelopmentalStage,Dataset,Correlation
mid_devo,Bhaduri_H1S_10w,0.1637899573776754
mid_devo,Bhaduri_H1S_10w,0.1637899573776754
mid_devo,Giandomenico_10w,0.19559986222287007
mid_devo,Madhavan_12w,0.3299037797353861
mid_devo,Popova_batch2_7w,0.14032689666426287
mid_devo,Trujillo_12w,0.09413331594273128
mid_devo,Trujillo_24w,0.3123112967188846
mid_devo,Trujillo_40w,0.27645800282343225
mid_devo,Velasco_12w,0.4218434191591756
mid_devo,Velasco_24w,0.3353870363685704
mid_devo,Xiang_10w,0.24346797186162172
mid_devo,Xiang_11w,0.32033351983274394
mid_devo,Xiangb1_4w,-0.01348039105632533
