DevelopmentalStage,Dataset,Correlation
early_devo,Bhaduri_H1S_10w,0.01359517129119066
early_devo,Bhaduri_H1S_10w,0.01359517129119066
early_devo,Bhaduri_H1S_8w,-0.04665010354782936
early_devo,Bhaduri_H1X_8w,-0.061242073323349085
early_devo,Bhaduri_H1S_5w,-0.044350392609383636
early_devo,Bhaduri_H1X_5w,-0.09387563556316209
early_devo,Trujillo_12w,0.013836890739648989
early_devo,Xiang_10w,0.04665528744973826
early_devo,Xiang_11w,0.04324702711600554
early_devo,Xiangb1_4w,-0.04563962842397748
early_devo,Xiangb2_4w,-0.029820472570832212
