DevelopmentalStage,Dataset,Correlation
early_devo,Bhaduri_H1S_10w,0.40153369267129263
early_devo,Bhaduri_H1S_10w,0.40153369267129263
early_devo,Bhaduri_H1S_8w,0.3175213171793681
early_devo,Bhaduri_H1X_8w,-0.07583183828598085
early_devo,Bhaduri_H1S_5w,-0.0007116574622253913
early_devo,Giandomenico_10w,0.14716669545248667
early_devo,Madhavan_12w,0.22491566086768258
early_devo,Popova_batch2_7w,0.18332871661323522
early_devo,Trujillo_12w,0.4220320315918675
early_devo,Trujillo_24w,0.4316527044528789
early_devo,Trujillo_40w,0.3458876324161185
early_devo,Velasco_12w,0.10141509777971525
early_devo,Velasco_24w,0.15265779174533575
early_devo,Xiang_10w,0.4486756752734039
early_devo,Xiang_11w,0.38238038701625937
early_devo,Xiangb1_4w,0.14889766636966326
early_devo,Xiangb2_4w,0.14353897768560284
