DevelopmentalStage,Dataset,Correlation
early_devo,Bhaduri_H1S_10w,0.12577888086876124
early_devo,Bhaduri_H1S_10w,0.12577888086876124
early_devo,Giandomenico_10w,0.215877560054639
early_devo,Madhavan_12w,0.26286649890222935
early_devo,Popova_batch2_7w,0.13151599840708417
early_devo,Trujillo_12w,0.12907316014012366
early_devo,Trujillo_24w,0.25112295369793425
early_devo,Trujillo_40w,0.2299186182985059
early_devo,Velasco_12w,0.31598904110757714
early_devo,Velasco_24w,0.2746600474285222
early_devo,Xiang_10w,0.22230422918392057
early_devo,Xiang_11w,0.24577305064925187
early_devo,Xiangb1_4w,-0.011460105361994604
